Algorithm Impl Scenario Iteration TimeBin Throughput Delay
fidelity/reno ccp_netlink drop 0 10.423 100908373.33333334 15.99671052631579
fidelity/reno ccp_netlink drop 0 10.499 95133013.33333334 16.192434210526315
fidelity/reno ccp_netlink drop 0 10.575 99464533.33333334 16.54111842105263
fidelity/reno ccp_netlink drop 0 10.651 95774720.0 17.098684210526315
fidelity/reno ccp_netlink drop 0 10.727 76683946.66666667 17.19736842105263
fidelity/reno ccp_netlink drop 0 10.804 76042240.0 15.960207612456747
fidelity/reno ccp_netlink drop 0 10.883 75721386.66666667 2.3380281690140845
fidelity/reno ccp_netlink drop 0 10.961 80860586.66666667 2.2832980972515857
fidelity/reno ccp_netlink drop 0 11.038 72352426.66666667 3.124748490945674
fidelity/reno ccp_netlink drop 0 11.115 78769493.33333334 3.2581344902386116
fidelity/reno ccp_netlink drop 0 11.192 85026133.33333334 3.0203252032520327
fidelity/reno ccp_netlink drop 0 11.268 79250773.33333334 2.6365422396856584
fidelity/reno ccp_netlink drop 0 11.344 81015466.66666667 3.0140280561122244
fidelity/reno ccp_netlink drop 0 11.419 84705280.0 2.719465648854962
fidelity/reno ccp_netlink drop 0 11.496 87592960.0 2.6763005780346822
fidelity/reno ccp_netlink drop 0 11.575 85346986.66666667 2.7737881508078996
fidelity/reno ccp_netlink drop 0 11.652 87432533.33333334 2.7514231499051234
fidelity/reno ccp_netlink drop 0 11.727 85507413.33333334 2.8858195211786373
fidelity/reno ccp_netlink drop 0 11.803 93689173.33333334 3.2769516728624537
fidelity/reno ccp_netlink drop 0 11.879 86469973.33333334 2.968978102189781
fidelity/reno ccp_netlink drop 0 11.955 91122346.66666667 3.277385159010601
fidelity/reno ccp_netlink drop 0 12.032 91443200.0 3.785211267605634
fidelity/reno ccp_netlink drop 0 12.109 95774720.0 3.2905982905982905
fidelity/reno ccp_netlink drop 0 12.186 96416426.66666667 3.5208333333333335
fidelity/reno ccp_netlink drop 0 12.263 93689173.33333334 3.239669421487603
fidelity/reno ccp_netlink drop 0 12.34 96576853.33333334 4.144599303135888
fidelity/reno ccp_netlink drop 0 12.417 98020693.33333334 3.7701149425287355
fidelity/reno ccp_netlink drop 0 12.492 75079680.0 3.9295302013422817
fidelity/reno ccp_netlink drop 0 12.572 47807146.66666667 3.6796875
fidelity/reno ccp_netlink drop 0 12.648 49892693.333333336 2.276094276094276
fidelity/reno ccp_netlink drop 0 12.723 53261653.333333336 2.3099041533546325
fidelity/reno ccp_netlink drop 0 12.8 56791040.0 1.970059880239521
fidelity/reno ccp_netlink drop 0 12.877 55507626.66666667 2.1577464788732392
fidelity/reno ccp_netlink drop 0 12.959 41390080.0 1.9913544668587897
fidelity/reno ccp_netlink drop 0 13.038 30481066.666666668 2.370656370656371
fidelity/reno ccp_netlink drop 0 13.116 28716373.333333336 1.963350785340314
fidelity/reno ccp_netlink drop 0 13.193 33368746.666666668 1.5611111111111111
fidelity/reno ccp_netlink drop 0 13.271 34331306.66666667 1.784688995215311
fidelity/reno ccp_netlink drop 0 13.348 35614720.0 1.7534883720930232
fidelity/reno ccp_netlink drop 0 13.424 32245760.0 2.0634146341463415
fidelity/reno ccp_netlink drop 0 13.5 36898133.333333336 2.022727272727273
fidelity/reno ccp_netlink drop 0 13.577 35935573.333333336 1.87012987012987
fidelity/reno ccp_netlink drop 0 13.655 40908800.0 1.5377777777777777
fidelity/reno ccp_netlink drop 0 13.73 41069226.66666667 1.49609375
fidelity/reno ccp_netlink drop 0 13.807 40267093.333333336 1.88715953307393
fidelity/reno ccp_netlink drop 0 13.883 44919466.66666667 1.9246031746031746
fidelity/reno ccp_netlink drop 0 13.959 44598613.333333336 1.7544483985765125
fidelity/reno ccp_netlink drop 0 14.039 47165440.0 1.7096774193548387
fidelity/reno ccp_netlink drop 0 14.114 43154773.333333336 1.5928571428571427
fidelity/reno ccp_netlink drop 0 14.19 46523733.333333336 1.719298245614035
fidelity/reno ccp_netlink drop 0 14.265 49571840.0 1.7938144329896908
fidelity/reno ccp_netlink drop 0 14.343 52780373.333333336 1.8903225806451613
fidelity/reno ccp_netlink drop 0 14.422 52619946.66666667 1.888544891640867
fidelity/reno ccp_netlink drop 0 14.5 54224213.333333336 2.0884146341463414
fidelity/reno ccp_netlink drop 0 14.581 56791040.0 1.7146974063400577
fidelity/reno ccp_netlink drop 0 14.663 56149333.333333336 2.0338028169014084
fidelity/reno ccp_netlink drop 0 14.739 56630613.333333336 1.833810888252149
fidelity/reno ccp_netlink drop 0 14.815 58716160.0 1.7078651685393258
fidelity/reno ccp_netlink drop 0 14.895 59037013.333333336 2.3133514986376023
fidelity/reno ccp_netlink drop 0 14.971 62245546.66666667 2.010840108401084
fidelity/reno ccp_netlink drop 0 15.048 64170666.66666667 2.0616966580976865
fidelity/reno ccp_netlink drop 0 15.125 64812373.333333336 2.1779448621553885
fidelity/reno ccp_netlink drop 0 15.203 57593173.333333336 2.341463414634146
fidelity/reno ccp_netlink drop 0 15.279 64812373.333333336 2.5871313672922254
fidelity/reno ccp_netlink drop 0 15.356 67218773.33333334 2.358353510895884
fidelity/reno ccp_netlink drop 0 15.432 63208106.66666667 2.1119221411192215
fidelity/reno ccp_netlink drop 0 15.508 67700053.33333334 2.198090692124105
fidelity/reno ccp_netlink drop 0 15.583 71229440.0 2.1905882352941175
fidelity/reno ccp_netlink drop 0 15.662 76363093.33333334 2.4292134831460674
fidelity/reno ccp_netlink drop 0 15.741 72031573.33333334 2.4322033898305087
fidelity/reno ccp_netlink drop 0 15.82 72031573.33333334 2.3076923076923075
fidelity/reno ccp_netlink drop 0 15.899 76042240.0 2.362222222222222
fidelity/reno ccp_netlink drop 0 15.975 75240106.66666667 2.5095541401273884
fidelity/reno ccp_netlink drop 0 16.052 80534186.66666667 2.3143459915611815
fidelity/reno ccp_netlink drop 0 16.128 76683946.66666667 2.670886075949367
fidelity/reno ccp_netlink drop 0 16.205 81496746.66666667 2.7298387096774195
fidelity/reno ccp_netlink drop 0 16.283 78288213.33333334 2.5823529411764707
fidelity/reno ccp_netlink drop 0 16.359 81978026.66666667 2.7711340206185566
fidelity/reno ccp_netlink drop 0 16.435 86309546.66666667 2.7600767754318616
fidelity/reno ccp_netlink drop 0 16.512 83903146.66666667 2.4347014925373136
fidelity/reno ccp_netlink drop 0 16.588 86469973.33333334 2.649325626204239
fidelity/reno ccp_netlink drop 0 16.664 60160000.0 3.0327552986512525
fidelity/reno ccp_netlink drop 0 16.743 44759040.0 2.5547445255474455
fidelity/reno ccp_netlink drop 0 16.825 49090560.0 1.6821428571428572
fidelity/reno ccp_netlink drop 0 16.906 35454293.333333336 1.6742671009771988
fidelity/reno ccp_netlink drop 0 16.981 23743146.666666668 2.18018018018018
fidelity/reno ccp_netlink drop 0 17.057 22459733.333333336 1.3673469387755102
fidelity/reno ccp_netlink drop 0 17.132 25186986.666666668 1.3863636363636365
fidelity/reno ccp_netlink drop 0 17.211 30160213.333333336 1.4023668639053255
fidelity/reno ccp_netlink drop 0 17.293 26791253.333333336 1.560846560846561
fidelity/reno ccp_netlink drop 0 17.37 29518506.666666668 1.4523809523809523
fidelity/reno ccp_netlink drop 0 17.446 30962346.666666668 1.699421965317919
fidelity/reno ccp_netlink drop 0 17.531 35454293.333333336 1.6213592233009708
fidelity/reno ccp_netlink drop 0 17.612 35614720.0 2.0
fidelity/reno ccp_netlink drop 0 17.689 34973013.333333336 1.4215246636771302
fidelity/reno ccp_netlink drop 0 17.768 33208320.0 1.5662100456621004
fidelity/reno ccp_netlink drop 0 17.844 35775146.66666667 1.9203980099502487
fidelity/reno ccp_netlink drop 0 17.933 40587946.66666667 1.9177489177489178
fidelity/reno ccp_netlink drop 0 18.009 40106666.66666667 2.3647540983606556
fidelity/reno ccp_netlink drop 0 18.09 44919466.66666667 2.164750957854406
fidelity/reno ccp_netlink drop 0 18.168 43956906.66666667 2.0462633451957295
fidelity/reno ccp_netlink drop 0 18.245 47165440.0 1.701818181818182
fidelity/reno ccp_netlink drop 0 18.328 46684160.0 1.7016949152542373
fidelity/reno ccp_netlink drop 0 18.41 45882026.66666667 1.9931506849315068
fidelity/reno ccp_netlink drop 0 18.49 44759040.0 1.7282229965156795
fidelity/reno ccp_netlink drop 0 18.565 49571840.0 1.8642857142857143
fidelity/reno ccp_netlink drop 0 18.644 52780373.333333336 2.02258064516129
fidelity/reno ccp_netlink drop 0 18.719 49411413.333333336 1.809090909090909
fidelity/reno ccp_netlink drop 0 18.8 53261653.333333336 1.8576051779935274
fidelity/reno ccp_netlink drop 0 18.877 51496960.0 2.051987767584098
fidelity/reno ccp_netlink drop 0 18.953 53261653.333333336 2.188679245283019
fidelity/reno ccp_netlink drop 0 19.032 58716160.0 1.8542274052478134
fidelity/reno ccp_netlink drop 0 19.108 61764266.66666667 2.204359673024523
fidelity/reno ccp_netlink drop 0 19.189 55507626.66666667 2.15748031496063
fidelity/reno ccp_netlink drop 0 19.265 56951466.66666667 1.9634146341463414
fidelity/reno ccp_netlink drop 0 19.341 63689386.66666667 2.0184696569920844
fidelity/reno ccp_netlink drop 0 19.419 62887253.333333336 2.0025062656641603
fidelity/reno ccp_netlink drop 0 19.495 59197440.0 2.1266149870801034
fidelity/reno ccp_netlink drop 0 19.571 68983466.66666667 2.242021276595745
fidelity/reno ccp_netlink drop 0 19.647 65133226.66666667 2.467136150234742
fidelity/reno ccp_netlink drop 0 19.723 65454080.0 1.9722921914357683
fidelity/reno ccp_netlink drop 0 19.8 74598400.0 2.2358490566037736
fidelity/reno ccp_netlink drop 0 19.876 66737493.333333336 2.024390243902439
fidelity/reno ccp_netlink drop 0 19.952 68020906.66666667 2.6844660194174756
fidelity/reno ccp_netlink drop 0 20.029 74758826.66666667 2.2179775280898877
fidelity/reno ccp_netlink drop 0 20.105 70587733.33333334 2.56347438752784
fidelity/reno ccp_netlink drop 0 20.183 76523520.0 2.2396514161220042
fidelity/reno ccp_netlink drop 0 20.259 74437973.33333334 2.4978540772532187
fidelity/reno ccp_netlink drop 0 20.336 76844373.33333334 2.3851063829787233
fidelity/reno ccp_netlink drop 0 20.413 72994133.33333334 2.5274261603375527
fidelity/reno ccp_netlink drop 0 20.495 42192213.333333336 2.6908315565031984
fidelity/reno ccp_netlink drop 0 20.572 38502400.0 1.589430894308943
