Algorithm Impl Scenario IterationX IterationY Time Cwnd
fidelity/cubic ccp_netlink fixed 0 0 0.669933026 148.0
fidelity/cubic ccp_netlink fixed 0 0 0.6714253020000001 148.0
fidelity/cubic ccp_netlink fixed 0 0 0.673528428 148.0
fidelity/cubic ccp_netlink fixed 0 0 0.673732171 149.0
fidelity/cubic ccp_netlink fixed 0 0 0.6895808760000001 149.0
fidelity/cubic ccp_netlink fixed 0 0 0.689733625 149.0
fidelity/cubic ccp_netlink fixed 0 0 0.694367048 149.0
fidelity/cubic ccp_netlink fixed 0 0 0.702184196 149.0
fidelity/cubic ccp_netlink fixed 0 0 0.713628349 149.0
fidelity/cubic ccp_netlink fixed 0 0 0.715602865 149.0
fidelity/cubic ccp_netlink fixed 0 0 0.720503011 149.0
fidelity/cubic ccp_netlink fixed 0 0 0.7251968320000001 149.0
fidelity/cubic ccp_netlink fixed 0 0 0.735075284 150.0
fidelity/cubic ccp_netlink fixed 0 0 0.7354405390000001 150.0
fidelity/cubic ccp_netlink fixed 0 0 0.741050826 150.0
fidelity/cubic ccp_netlink fixed 0 0 0.7507365260000001 150.0
fidelity/cubic ccp_netlink fixed 0 0 0.7702302050000001 150.0
fidelity/cubic ccp_netlink fixed 0 0 0.773062492 150.0
fidelity/cubic ccp_netlink fixed 0 0 0.779086124 150.0
fidelity/cubic ccp_netlink fixed 0 0 0.7792997850000001 151.0
fidelity/cubic ccp_netlink fixed 0 0 0.7793172380000001 151.0
fidelity/cubic ccp_netlink fixed 0 0 0.783868552 151.0
fidelity/cubic ccp_netlink fixed 0 0 0.787708009 151.0
fidelity/cubic ccp_netlink fixed 0 0 0.792879208 151.0
fidelity/cubic ccp_netlink fixed 0 0 0.794578259 151.0
fidelity/cubic ccp_netlink fixed 0 0 0.797770843 151.0
fidelity/cubic ccp_netlink fixed 0 0 0.800827823 151.0
fidelity/cubic ccp_netlink fixed 0 0 0.803846927 151.0
fidelity/cubic ccp_netlink fixed 0 0 0.8160834470000001 151.0
fidelity/cubic ccp_netlink fixed 0 0 0.816182469 151.0
fidelity/cubic ccp_netlink fixed 0 0 0.8179745509999999 151.0
fidelity/cubic ccp_netlink fixed 0 0 0.823863387 151.0
